Name,Specialities,Locations,Areas of Focus
"Elizabeth Y. Chan, M.D.",Cardiologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Johanna L. Chan, M.D.",Gastroenterologist,"Jacksonville, FL","Flexible sigmoidoscopy, Upper endoscopy, Colonoscopy, Peptic ulcer, Colon polyps, Gastrointestinal bleeding, Constipati...on, Diarrhea, Gastroesophageal reflux disease"
N/A,,,
N/A,,,
"Asher A. Chanan-Khan, M.D.",Hematologist,"Jacksonville, FL","Multiple myeloma, Waldenstrom macroglobulinemia, Melanoma, Chronic lymphocytic leukemia"
N/A,,,
N/A,,,
"Melanie J. Chandler, Ph.D.",Psychologist,"Jacksonville, FL","Neuropsychological assessment, Mild cognitive impairment, Dementia"
N/A,,,
N/A,,,
"Anupam Chandra, M.D.","Internist, Geriatrician","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Vinay Chandrasekhara, M.D.",Gastroenterologist,"Rochester, MN","Endoscopic GI leak procedure, Colonoscopy, ERCP, Endoscopic submucosal dissection, Endoscopic brachytherapy, Endoscopic... ultrasound, Polypectomy, Endoscopic mucosal resection, Polyp, Pancreatic disorder, Pancreatic neuroendocrine tumor, Pancreatic cancer, Bile duct stone, Pancreatic insufficiency, Pancreatic cyst, Cholangiocarcinoma, Bile duct stricture, Pancreatitis"
N/A,,,
N/A,,,
"Alice Y. Chang, M.D., M.S.",,"Jacksonville, FL","Polycystic ovary syndrome, Pheochromocytoma, Congenital adrenal hyperplasia, Benign adrenal tumor"
N/A,,,
"Brent A. Chang, M.D.",Otolaryngologist,"Phoenix, AZ","Thyroid surgery, Microvascular reconstruction, Neck surgery, Reconstructive surgery, Facial reconstruction, Parathyroid...ectomy, Parotid gland surgery, Transoral laser microsurgery, Transoral robotic surgery, Oral surgery, Parotid gland tumor, Skin cancer, Tonsil cancer, Throat cancer, Salivary gland tumor, Salivary gland cancer, Thyroid nodule, Head and neck cancer, Laryngeal cancer, Tongue base cancer, Mouth tumor, Parotid cancer, Mouth cancer, Thyroid cancer, Tongue cancer, Oropharyngeal cancer"
N/A,,,
N/A,,,
"Ian C. Chang, M.D.",Cardiologist,"Rochester, MN",
N/A,,,
N/A,,,
"April Chang-Miller, M.D.","Internist, Rheumatologist","Phoenix, AZ","Psoriatic arthritis, Spondyloarthritis, Ankylosing spondylitis"
N/A,,,
N/A,,,
N/A,,,
"Paula D. Chantigian, M.D.",Gynecologist,"Rochester, MN",
N/A,,,
N/A,,,
"Robert C. Chantigian, M.D.",Anesthesiologist,"Rochester, MN","General anesthesia administration, Liver transplant"
N/A,,,
N/A,,,
"Alyssa B. Chapital, M.D., Ph.D.",General Surgeon,"Phoenix, AZ",
N/A,,,
N/A,,,
"Panithaya Chareonthaitawee, M.D.",Cardiologist,"Rochester, MN","Cardiac PET scan, Nuclear stress test, High blood pressure, Heart failure, Coronary artery disease, Acute coronary synd...rome, Hyperlipidemia, Endothelial dysfunction, Atrial fibrillation"
N/A,,,
N/A,,,
"Joseph C. Charles, M.B., Ch.B., M.D.",Internist,"Phoenix, AZ",Acupuncture
N/A,,,
N/A,,,
"Jonathan E. Charnin, M.D.",Anesthesiologist,"Rochester, MN",
N/A,,,
N/A,,,
"David M.H. Chascsa, M.D.","Transplant Hepatologist, Internist, Gastroenterologist","Phoenix, AZ",Nonalcoholic fatty liver disease
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Asma J. Chattha, M.B.B.S.",Pediatrician,"Rochester, MN","Fertility preservation, Polycystic ovary syndrome"
N/A,,,
N/A,,,
"Sanjay Chaudhary, M.B.B.S.",Critical Care Specialist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Rajeev Chaudhry, M.B.B.S., M.P.H.","Internist, Clinical Informaticist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Mohit Chauhan, M.B.B.S.",Psychiatrist,"Jacksonville, FL",Mood disorder
N/A,,,
N/A,,,
"Augustine S. Chavez, M.D.",Family Physician,"Phoenix, AZ",Chronic illness
N/A,,,
N/A,,,
"Fouad T. Chebib, M.D.",,"Jacksonville, FL","Kidney dialysis, Pancreas transplant, Kidney transplant, Transplant, Chronic kidney disease, High blood pressure, End-s...tage renal disease, Kidney cyst, Polycystic kidney disease, Acute kidney failure, Kidney stone, Glomerular disease"
N/A,,,
"Victor G. Chedid, M.D., M.S.",Gastroenterologist,"Rochester, MN","Colonoscopy, Upper endoscopy, Crohn's disease, Ulcerative colitis, Inflammatory bowel disease"
N/A,,,
N/A,,,
"Alicia Chen, M.D.",Radiologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Anita H. Chen, M.D.","Gynecologist, Urogynecologist","Jacksonville, FL","Minimally invasive surgery, Hysteroscopy, Rectovaginal fistula repair, Urethral bulking, Urethral diverticulum surgery,... Vaginal hysterectomy, Gynecological surgery, Botox injection, Laparoscopic surgery, Cystourethroscopy, Pelvic floor reconstruction, Hysterectomy, Robotic surgery, Urinary sling procedure, Vesicovaginal fistula repair , Midurethral sling surgery, Sacrocolpopexy, Sacral nerve stimulation, Vaginal repair, Overactive bladder, Anterior prolapse, Urge incontinence , Fistula, Uterine prolapse, Urethral diverticulum, Rectocele, Pelvic organ prolapse, Stress incontinence, Urinary incontinence, Fecal incontinence, Enterocele"
N/A,,,
N/A,,,
N/A,,,
"Beiyun Chen, M.D., Ph.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Dong Chen, M.D., Ph.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Frank K. Chen, M.D.",,"Jacksonville, FL","Image-guided diagnostic procedure, CT-guided biopsy, Ultrasound, MRI"
N/A,,,
"Frederick Chen, M.D.",Radiologist,"Phoenix, AZ",Kidney biopsy
N/A,,,
N/A,,,
"Horng H. Chen, M.D.","Echocardiographer, Cardiologist","Rochester, MN","Transesophageal echocardiogram, Echocardiogram, Coronary artery disease, Structural heart disease, Heart failure"
N/A,,,
N/A,,,
N/A,,,
"John J. Chen, M.D., Ph.D.",,"Rochester, MN","Temporal artery biopsy, Cataract surgery, Optic neuritis, Nystagmus, Ischemic optic neuropathy, Double vision, Pituitar...y tumor, Pseudotumor cerebri, Neuromyelitis optica"
N/A,,,
"Longwen Chen, M.D., Ph.D.",Pathologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Ruqin Chen, M.D., M.B.",Oncologist,"Jacksonville, FL","Targeted drug therapy, Immunotherapy, Hormone therapy for prostate cancer, Chemotherapy, Prostate cancer, Kidney cancer..., Melanoma, Bladder cancer"
N/A,,,
N/A,,,
"Selby G. Chen, M.D.",Neurosurgeon,"Jacksonville, FL","Lumbar laminectomy, Thoracic laminectomy, Cervical disk replacement, Lumbar pseudoarthrosis procedure, Cervical pseudoa...rthrosis procedure, Lumbar diskectomy, Thoracic scoliosis surgery, Cervical laminectomy, Robotic spine surgery, Thoracic diskectomy, Lumbar scoliosis surgery, Lumbar fusion, Minimally invasive surgery, Thoracic fusion, Cervical diskectomy, Back surgery, Cervical scoliosis surgery, Cervical spine surgery, Cervical spine fusion, Spine procedure, Thoracic pseudoarthrosis procedure, Spinal cord tumor, Disk disease, Discogenic back pain, Glioma"
N/A,,,
N/A,,,
"Stella X. Chen, M.D.",Dermatologist,"Phoenix, AZ","Connective tissue disorder, Dermatomyositis, Morphea, Hidradenitis suppurativa, Psoriasis, Lupus"
N/A,,,
N/A,,,
"Ying Ying (Christina) Chen, M.D.","Internist, Geriatrician","Rochester, MN",Integrative medicine
N/A,,,
N/A,,,
N/A,,,
"Megan C. Cheney, M.D.",Gynecologist,"Phoenix, AZ","Intrauterine device method, Loop electrosurgical excision procedure, Cervical biopsy, Vaginal biopsy, Endometrial ablat...ion, Colposcopy, Hysteroscopy, Endometrial biopsy, Contraceptive implant method, Vulvar biopsy, Menopause, Hot flashes, Vulvar disorder, Painful intercourse, Vaginitis, Uterine polyps, Menstrual cramps, Menstrual cycle conditions, Sexually transmitted disease, Yeast infection, Bartholin cyst, Breast cysts and lumps, Cervical intraepithelial neoplasia grade 3, Cervical intraepithelial neoplasia grade 2, Cervical dysplasia, Ovarian cyst, Breast pain, Postmenopausal bleeding, Bacterial vaginosis, Vulval irritation, Lichen sclerosus, Infertility"
N/A,,,
N/A,,,
"Scott M. Cheney, M.D.",,"Phoenix, AZ","HoLEP, Partial nephrectomy, Ureteroscopy, Prostatectomy, Robotic surgery, Laparoscopic surgery, Nephrectomy, Ureteropel...vic junction obstruction, Kidney cancer, Prostate cancer, Bladder cancer, Kidney stone, Prostate disorder"
N/A,,,
"Supavit (Mac) Chesdachai, M.D.","Internist, Infectious Disease Specialist","Rochester, MN","Bacteremia, Infection in the immunocompromised, Transplant-associated infection, Device-associated infection , HIV/AIDS..., General infectious diseases"
N/A,,,
N/A,,,
N/A,,,
"William P Cheshire, Jr., M.D.",Neurologist,"Jacksonville, FL","Multiple system atrophy, Trigeminal neuralgia, Autonomic neuropathy, Orthostatic hypotension"
N/A,,,
N/A,,,
"Joseph Cheung, M.D.",Sleep Medicine Specialist,"Jacksonville, FL","Polysomnography, Multiple sleep latency test, Actigraphy, Insomnia, Restless legs syndrome, REM sleep behavior disorder..., Idiopathic hypersomnia, Circadian rhythm disorder, Central sleep apnea, Obstructive sleep apnea, Parasomnia, Narcolepsy, Sleep disorders, Sleep-related breathing disorder"
N/A,,,
N/A,,,
"Wisit Cheungpasitporn, M.D.","Internist, Nephrologist","Rochester, MN","Dialysis, Peritoneal dialysis, Continuous renal replacement therapy, Continuous ambulatory peritoneal dialysis, Hemodia...lysis, Glomerular disease, End-stage renal disease, Glomerulonephritis, Hyponatremia, Chronic kidney disease, Diabetic nephropathy, Kidney stone, Kidney failure, Chronic kidney disease mineral and bone disorder, Kidney injury, Hypertensive nephropathy"
N/A,,,
N/A,,,
N/A,,,
"Andrea L. Cheville, M.D.",Physiatrist,"Rochester, MN","Pain management, Cancer rehabilitation, Palliative care, Lymphedema, Pain, Klippel-Trenaunay syndrome"
N/A,,,
N/A,,,
"Anikar Chhabra, M.D.","Sports Medicine Specialist, Orthopedic Surgeon","Phoenix, AZ","Meniscus transplant, Osteotomy, Knee reconstruction, Cartilage repair, Shoulder arthroscopy, Knee surgery, Arthroscopy,... Shoulder replacement surgery, Knee disorder, Sports injury, Multiligament knee injury, Concussion"
N/A,,,
N/A,,,
N/A,,,
"Saurabh Chhabra, M.B.B.S., M.D.",Hematologist / Oncologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Chia-Chun Chiang, M.D.","Vascular Neurologist, Headache Specialist","Rochester, MN","Nerve block, Botox injection, Migraine, Migraine with aura, Trigeminal neuralgia, Medication overuse headache, Stroke, ...Moyamoya disease, Cluster headache"
N/A,,,
N/A,,,
N/A,,,
"Sergio E. Chiarella, M.D.",Allergist-Immunologist,"Rochester, MN","Hay fever, Rhinitis, Asthma, Chronic hives, Chronic sinusitis"
N/A,,,
N/A,,,
"Daniel (Dan) S. Childs, M.D.",Oncologist,"Rochester, MN","Cancer treatment, Cancer survivorship program, Rare disorders, Testicular cancer, Prostate cancer, Cancer, Kidney cance...r, Bladder cancer"
N/A,,,
N/A,,,
"Ana-Maria Chindris, M.D.","Internist, Endocrinologist","Jacksonville, FL",
N/A,,,
N/A,,,
N/A,,,
"Eduardo N. Chini, M.D., Ph.D.",Anesthesiologist,"Jacksonville, FL","Chest surgery, Vascular access surgery, Malignant hyperthermia"
N/A,,,
N/A,,,
"Ashish V. Chintakuntlawar, M.B.B.S., Ph.D.",,,"Pheochromocytoma, Thyroid cancer, Salivary gland tumor, Head and neck cancer, Adrenal cancer"
"Anca Chiriac, M.D., Ph.D.",Cardiac Electrophysiologist,"Jacksonville, FL","Pacemaker insertion, Atrial fibrillation ablation, Cardiac resynchronization therapy, Atrial flutter ablation, Echocard...iogram, SVT ablation, Ventricular tachycardia ablation, Implantable cardioverter-defibrillator insertion, Heart failure, Ventricular tachycardia, Atrial fibrillation, Atrial flutter, Congenital heart disease, Wolff-Parkinson-White syndrome, Sudden cardiac arrest, Conduction system disease, Ventricular fibrillation, Supraventricular tachycardia"
N/A,,,
N/A,,,
"Razvan M. Chirila, M.D.",,"Jacksonville, FL",
N/A,,,
"Shannon Y. Chiu, M.D.",Neurologist,"Phoenix, AZ","Deep brain stimulation, Atypical Parkinsonism, Lewy body dementia, Tremor, Dystonia, Parkinson's disease"
N/A,,,
N/A,,,
"Mitchell (Mitch) F. Chlopek, M.D.",Hospitalist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Kevin D. Chodnicki, M.D.",Ophthalmologist,"Rochester, MN","Cataract surgery, Optic neuritis, Ischemic optic neuropathy, Double vision, Pseudotumor cerebri"
N/A,,,
N/A,,,
"Tony Y. Chon, M.D.",Internist,"Rochester, MN","Integrative medicine, Acupuncture"
N/A,,,
N/A,,,
"C. Richard Choo, M.D.",Radiation Oncologist,"Rochester, MN","Radiation therapy, Proton therapy, Brachytherapy, Intensity-modulated radiation therapy, Testicular cancer, Prostate ca...ncer, Bladder cancer"
N/A,,,
N/A,,,
"Grace M. Choong, M.D.","Gynecologic Oncologist, Oncologist","Rochester, MN","Breast cancer, Gynecologic cancer"
N/A,,,
N/A,,,
N/A,,,
"Samuel R. Choulet, M.D.","Internist, Hospitalist","Phoenix, AZ",
N/A,,,
N/A,,,
N/A,,,
"George K. Chow, M.D.",Urologist,"Rochester, MN","Donor nephrectomy, Endovenous thermal ablation, Laparoscopic surgery, Robotic prostatectomy"
N/A,,,
N/A,,,
"April R. Christensen, M.D., M.S.",,"Rochester, MN",
N/A,,,
"Chancey L. Christenson, M.D.","Pathologist, Clinical Informaticist","Jacksonville, FL","Apheresis, Myasthenia gravis, Sickle cell anemia, Transplant rejection"
N/A,,,
N/A,,,
N/A,,,
"Melody A. Christians, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Ying-Hsia Chu, M.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Heidi K. Chua, M.D.","General Surgeon, Colon and Rectal Surgeon","Rochester, MN","J-pouch surgery, Sacral nerve stimulation for fecal incontinence, Rectal prolapse surgery, Coloanal anastomosis, Colore...ctal surgery, Anorectal surgery, Minimally invasive abdominal surgery, Colectomy, Colostomy, Intraoperative radiation therapy, Proctectomy, Flexible sigmoidoscopy, Ileostomy surgery, Polyposis syndromes, Rectal cancer, Hemorrhoids, Anal fissure, Ulcerative colitis, Rectal prolapse, Carcinoid tumor, Pelvic floor dysfunction, Recurrent cancer, Anal fistula, Lynch syndrome, Inflammatory bowel disease, Anorectal disease, Anorectal abnormality, Abscess, Fecal incontinence, Familial adenomatous polyposis, Colonic dysmotility, Anal cancer, Crohn's disease"
N/A,,,
N/A,,,
N/A,,,
"Saranya Chumsri, M.D.",Oncologist,"Jacksonville, FL",Breast cancer
N/A,,,
N/A,,,
"Darryl S. Chutka, M.D.",Internist,"Rochester, MN",Urinary incontinence
N/A,,,
N/A,,,
"Mine Cicek, Ph.D.",,"Rochester, MN",
N/A,,,
"Robert R. Cima, M.D.","Colon and Rectal Surgeon, General Surgeon","Rochester, MN","Anorectal surgery, Flexible sigmoidoscopy, Coloanal anastomosis, Colorectal surgery, Ileostomy surgery, Colectomy, Colo...noscopy, Colostomy, Transanal endoscopic microsurgery, Robotic ventral hernia repair, Minimally invasive abdominal surgery, Laparoscopic surgery, J-pouch surgery, Lynch syndrome, Hemorrhoids, Abscess, Inflammatory bowel disease, Colon cancer, Familial adenomatous polyposis, Crohn's disease, Anal fissure, Diverticulitis, Recurrent cancer, Fistula, Carcinoid tumor, Polyposis syndromes, Anorectal disease, Colon polyps, Colonic dysmotility, Ulcerative colitis, Anal fistula"
N/A,,,
N/A,,,
N/A,,,
"Jeremy M. Clain, M.D.","Critical Care Specialist, Internist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Jonathan E. Clain, M.D.",,"Rochester, MN",Endoscopic ultrasound
N/A,,,
"Adrianna D. Clapp, M.D.",Family Physician,"Jacksonville, FL",
N/A,,,
N/A,,,
"Heather M. Clark, Ph.D.","Speech-Language Pathologist, Neurologic Communicative Disorder Specialist","Rochester, MN","Videofluoroscopic swallowing study, Apraxia, Velopharyngeal insufficiency, Aphasia, Dysarthria, Dysphagia, Childhood ap...raxia of speech"
N/A,,,
N/A,,,
N/A,,,
"Matthew M. Clark, Ph.D., L.P.",Psychologist,"Rochester, MN",
N/A,,,
N/A,,,
"Bart L. Clarke, M.D.",,"Rochester, MN","Hyperparathyroidism, Osteoporosis, Metabolic bone disease, Hypoparathyroidism, Paget's disease of the bone"
N/A,,,
"Henry D. Clarke, M.D.",Orthopedic Surgeon,"Phoenix, AZ","Knee reconstruction, Joint replacement surgery, ACL surgery, Hip replacement, Knee replacement, Hip arthritis, Sports i...njury"
N/A,,,
N/A,,,
"Michelle (M. J.) J. Clarke, M.D.",Neurosurgeon,"Rochester, MN","Brain tumor surgery, Chiari malformation surgery, Spine tumor surgery, Spinal fusion, Vascular malformation, Brain tumo...r, Chiari malformation, Spinal tumor, Spinal cord tumor"
N/A,,,
N/A,,,
"Alfredo L. Clavell, M.D.",Cardiologist,"Rochester, MN","Heart valve disease, Heart failure"
N/A,,,
N/A,,,
"David W. Claypool, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Casey M. Clements, M.D., Ph.D.",Emergency Medicine Physician,"Rochester, MN","Shock, Infectious disease, Sepsis"
N/A,,,
N/A,,,
"Steven R. Clendenen, M.D.",Anesthesiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Jacob N. Clendenon, M.D.",Transplant Surgeon,"Jacksonville, FL","Pancreas transplant, Kidney transplant"
N/A,,,
N/A,,,
"William (Bill) Cliby, M.D.","Gynecologist, Gynecologic Oncologist","Rochester, MN","Hysteroscopy, Minimally invasive surgery, Cervical cerclage, Pelvic exenteration, Robotic hysterectomy, Endometriosis s...urgery, Diagnostic hysteroscopy, Vaginal hysterectomy, Vulvectomy, Minimally invasive surgical staging, Vaginectomy, Sentinel node biopsy, Diagnostic laparoscopy, Debulking surgery, Abdominal hysterectomy, Robotic surgery, Ovarian remnant removal, Conization, Trachelectomy, Reconstructive surgery, Fertility sparing surgery, Minimally invasive hysterectomy, Gynecological surgery, Ovarian cancer, Gynecologic cancer, Germ cell tumor, Ovarian remnant syndrome, Uterine polyps, Lower genital tract dysplasia, Vaginal cancer, Ovarian cyst, Cervical cancer, Vulvar dysplasia, Cervical dysplasia, Peritoneal cancer, Adnexal tumors, Vulvodynia, Cancer during pregnancy, Cancer, Endometrial cancer, Vulvar cancer, Ectopic pregnancy, Uterine fibroid, Fallopian tube cancer, Endometriosis"
N/A,,,
N/A,,,
N/A,,,
"Mary (Jennings) J. Clingan, M.D.",Radiologist,"Jacksonville, FL","Ultrasound, MRI, CT scan"
N/A,,,
N/A,,,
"Harry Cloft, M.D., Ph.D.",Radiologist,"Rochester, MN","Carotid angioplasty and stenting, Coronary angioplasty and stenting, Brain tumor, Brain aneurysm, Hereditary hemorrhagi...c telangiectasia"
N/A,,,
N/A,,,
"Caroline G. Clune, M.D.",,"Rochester, MN",
N/A,,,
"Steven H. Cobb, M.D.",Ophthalmologist,"Phoenix, AZ","Eye floaters, Eye infection, Eye problem, Eye injury"
N/A,,,
N/A,,,
"Don (Chamil) C. Codipilly, M.D.",Gastroenterologist,"Rochester, MN","Esophageal manometry, pH testing, Esophagoscopy, Colonoscopy, Esophageal dilatation, Barrett's esophagus, Eosinophilic ...gastroenteritis, Esophageal cancer, Esophageal stricture, Eosinophilic esophagitis, Gastroesophageal reflux disease, Achalasia, Dysphagia"
N/A,,,
N/A,,,
"Nayantara Coelho-Prabhu, M.B.B.S.",Gastroenterologist,"Rochester, MN","Balloon assisted endoscopy, Colonoscopy, Endoscopic submucosal dissection, Upper endoscopy, Endoscopic mucosal resectio...n, Enteral stenting, Colon polyps, Inflammatory bowel disease, Gastrointestinal bleeding"
N/A,,,
N/A,,,
"Shelagh A. Cofer, M.D.",Otolaryngologist,"Rochester, MN","Velopharyngeal insufficiency surgery, CO-2 laser treatment, Phonosurgery, Laryngotracheal reconstruction, Cleft lip rep...air, Sinus surgery, Otoplasty, Cleft palate repair, Congenital anomaly of the trachea, Tracheal stenosis, Subglottic stenosis, Congenital neck anomaly, Congenital craniofacial anomaly, Cleft palate, Tumors and masses, Head and neck cancer, Sinusitis, Laryngeal papillomatosis, Laryngeal trauma, Velopharyngeal insufficiency, Vocal cord paralysis, Laryngeal cleft, Vascular malformation, Cleft lip, Congenital anomaly of the larynx"
N/A,,,
N/A,,,
"Petrice M. Cogswell, M.D., Ph.D.",Radiologist,"Rochester, MN",
